Date,rate_ABBV,rate_VOO,Sector,rate_ABT,rate_AMGN,rate_BMY,rate_DHR,rate_GILD,rate_ISRG,rate_JNJ,rate_LLY,rate_MDT,rate_MRK,rate_PFE,rate_REGN,rate_TMO,rate_UNH
2022-02-14,5.21,-5.53,Healthcare,-8.37,-0.83,5.83,-9.93,-13.47,-13.53,-2.91,-9.57,-2.75,-1.81,-9.65,-0.02,-9.21,-1.87
2022-02-15,6.41,-4.08,Healthcare,-7.5,-0.97,7.23,-10.71,-13.17,-11.11,-1.93,-6.18,-1.28,-0.16,-9.66,1.0,-9.91,-1.12
2022-02-16,7.16,-3.98,Healthcare,-7.72,-1.5,6.98,-11.15,-12.39,-10.57,-1.99,-5.54,-1.98,-0.89,-9.86,1.12,-10.88,-0.76
2022-02-17,6.55,-5.93,Healthcare,-9.96,-1.91,6.68,-10.65,-13.23,-12.66,-2.57,-7.24,-3.32,-1.95,-11.23,0.47,-12.4,-2.66
2022-02-18,5.91,-6.5,Healthcare,-12.7,-2.29,6.91,-11.4,-13.56,-13.64,-4.18,-7.49,-4.35,-1.93,-11.89,-1.32,-12.92,-3.15
2022-02-22,6.95,-7.48,Healthcare,-12.18,-2.03,6.76,-11.64,-13.65,-12.68,-5.44,-7.92,-1.45,-2.45,-13.65,-3.21,-14.04,-4.18
2022-02-23,7.76,-9.06,Healthcare,-12.37,-2.2,7.47,-12.85,-13.14,-14.91,-5.4,-8.23,-2.09,-2.59,-14.81,-2.27,-14.24,-4.75
2022-02-24,6.75,-7.73,Healthcare,-11.3,-2.92,6.25,-9.91,-14.16,-11.38,-7.15,-6.46,-1.81,-5.46,-16.42,-2.14,-12.45,-5.48
2022-02-25,9.65,-5.81,Healthcare,-8.64,0.32,8.74,-7.45,-13.46,-9.86,-2.68,-3.59,0.5,-2.0,-13.31,-0.77,-10.96,-1.6
2022-02-28,8.45,-6.04,Healthcare,-9.93,0.09,8.55,-9.0,-14.45,-10.81,-3.49,-3.92,-0.28,-1.68,-14.69,-0.82,-11.86,-1.58
2022-03-01,8.15,-7.18,Healthcare,-11.37,-0.43,8.24,-9.47,-14.2,-10.12,-3.71,-3.97,-1.48,-1.92,-16.31,-2.49,-11.64,-1.46
2022-03-02,9.24,-5.58,Healthcare,-9.81,0.96,8.52,-8.7,-12.88,-7.95,-2.56,-2.28,0.99,-1.52,-12.93,-1.02,-9.64,0.3
2022-03-03,9.73,-6.03,Healthcare,-9.38,2.64,8.85,-8.05,-12.24,-7.71,-1.2,-0.66,2.14,-0.93,-12.7,-1.87,-9.96,0.54
2022-03-04,9.82,-6.74,Healthcare,-9.07,2.75,9.17,-9.31,-12.04,-7.0,-0.64,0.88,2.73,-0.1,-11.28,-0.49,-11.01,2.87
2022-03-07,9.17,-9.33,Healthcare,-10.88,3.35,8.42,-12.3,-14.2,-9.79,0.89,0.43,1.22,-0.23,-12.44,-0.76,-12.89,0.59
2022-03-08,7.67,-9.98,Healthcare,-12.88,1.96,6.96,-14.15,-15.2,-16.79,-1.11,-0.2,-1.14,-1.2,-13.4,-1.35,-14.54,-2.05
2022-03-09,8.77,-7.69,Healthcare,-11.22,2.12,7.51,-11.73,-15.95,-13.94,-0.74,0.86,-1.61,-0.15,-11.07,-0.02,-11.82,0.34
2022-03-10,8.99,-8.09,Healthcare,-12.23,0.2,7.92,-12.04,-17.44,-14.87,-0.57,2.05,-0.8,-0.03,-10.27,1.05,-12.35,1.49
2022-03-11,8.92,-9.21,Healthcare,-14.4,1.01,8.56,-12.47,-17.33,-15.48,-0.75,2.16,-1.39,0.44,-8.37,2.93,-13.65,-0.2
2022-03-14,10.9,-9.84,Healthcare,-13.31,1.16,9.09,-11.07,-17.13,-18.44,0.59,3.16,-1.95,-0.16,-4.86,5.05,-12.71,0.8
2022-03-15,13.37,-7.92,Healthcare,-11.87,2.18,9.74,-9.76,-16.89,-16.56,3.15,5.57,0.1,0.92,-4.93,6.51,-10.39,2.81
2022-03-16,13.49,-5.92,Healthcare,-10.39,2.23,9.63,-7.48,-17.38,-14.18,2.22,5.94,1.88,0.27,-3.65,8.37,-8.51,2.88
2022-03-17,15.15,-4.8,Healthcare,-9.13,4.04,10.73,-6.35,-15.65,-12.63,3.53,9.34,4.17,1.3,-1.28,9.48,-6.98,4.64
2022-03-18,15.54,-3.77,Healthcare,-8.21,4.21,11.37,-2.84,-15.34,-10.46,2.4,10.13,4.58,1.52,-0.8,9.59,-4.33,4.46
2022-03-21,16.1,-3.77,Healthcare,-8.71,4.24,11.41,-3.79,-15.01,-12.53,2.97,10.88,3.24,1.46,-1.37,10.7,-4.3,4.76
2022-03-22,16.07,-2.68,Healthcare,-8.62,4.31,11.11,-2.27,-14.56,-11.57,2.49,9.15,3.45,1.76,-3.45,10.62,-4.6,4.29
2022-03-23,15.03,-3.9,Healthcare,-12.3,3.31,11.83,-4.85,-16.15,-14.98,2.11,8.84,0.8,2.31,-4.99,7.02,-7.13,3.87
2022-03-24,16.25,-2.83,Healthcare,-11.63,4.48,13.15,-4.69,-15.74,-13.2,2.63,10.15,0.98,3.17,-4.26,8.64,-6.76,5.93
2022-03-25,16.94,-2.35,Healthcare,-10.8,5.31,14.27,-4.36,-16.07,-11.44,3.6,10.65,2.97,4.36,-3.92,8.68,-6.66,5.84
2022-03-28,17.35,-1.69,Healthcare,-10.03,6.04,14.05,-3.07,-15.68,-8.99,4.13,11.64,4.35,4.19,-3.02,10.73,-5.26,5.88
2022-03-29,17.49,-0.48,Healthcare,-9.88,6.5,14.22,-1.64,-13.78,-6.85,4.08,10.78,6.31,4.65,-3.99,11.28,-3.73,5.38
2022-03-30,18.52,-1.09,Healthcare,-9.73,6.95,14.92,-1.14,-15.01,-6.11,5.15,11.17,5.66,5.71,-4.54,10.62,-3.38,7.41
2022-03-31,17.45,-2.57,Healthcare,-11.24,6.62,13.94,-2.46,-15.3,-6.95,3.78,10.25,5.17,5.26,-5.75,11.27,-4.08,5.23
2022-04-01,17.29,-2.24,Healthcare,-10.75,6.98,14.62,-2.91,-14.55,-5.61,4.21,11.55,6.24,6.93,-5.93,10.57,-3.71,5.59
2022-04-04,16.79,-1.45,Healthcare,-10.53,7.71,14.58,-3.69,-13.18,-6.58,3.24,11.23,4.96,6.89,-7.04,10.94,-4.04,5.08
2022-04-05,17.69,-2.62,Healthcare,-10.09,7.62,15.38,-4.3,-14.47,-8.47,3.9,11.57,4.63,7.18,-6.51,10.14,-4.96,6.62
2022-04-06,20.88,-3.57,Healthcare,-9.75,9.2,16.52,-3.66,-12.97,-10.63,6.55,15.78,5.68,8.75,-3.59,12.09,-4.47,9.4
2022-04-07,23.42,-3.1,Healthcare,-7.24,9.71,18.94,-0.3,-12.73,-9.69,6.28,16.6,6.21,11.06,0.51,13.63,-0.58,10.44
2022-04-08,24.4,-3.33,Healthcare,-7.32,9.82,19.58,-0.42,-10.9,-10.27,6.48,17.63,6.33,12.16,0.53,15.6,-1.11,12.23
2022-04-11,21.41,-4.94,Healthcare,-9.68,9.48,17.98,-3.08,-11.47,-13.52,5.18,16.77,5.51,10.84,-1.69,13.7,-4.74,10.54
2022-04-12,20.0,-5.28,Healthcare,-10.9,9.21,18.05,-6.49,-11.84,-13.86,5.21,16.46,4.66,9.76,-3.17,12.92,-7.05,9.79
2022-04-13,15.32,-4.23,Healthcare,-10.1,10.33,18.5,-5.51,-11.23,-11.63,5.65,14.59,4.55,10.3,-3.19,14.83,-6.13,10.45
2022-04-14,17.2,-5.37,Healthcare,-11.42,10.49,19.39,-7.73,-11.57,-13.3,5.21,14.31,3.25,11.14,-3.15,14.97,-7.37,10.02
2022-04-18,15.55,-5.35,Healthcare,-12.46,9.82,18.33,-8.36,-11.91,-14.31,3.92,13.26,2.4,10.24,-5.46,13.8,-6.87,9.87
2022-04-19,13.62,-3.88,Healthcare,-9.71,10.29,17.89,-9.0,-10.2,-8.65,7.05,12.7,4.38,9.95,-8.47,12.98,-6.55,10.48
2022-04-20,13.84,-3.95,Healthcare,-7.73,10.95,19.0,-6.61,-9.04,-6.19,7.51,11.45,6.94,10.63,-9.25,13.38,-3.88,11.89
2022-04-21,15.01,-5.34,Healthcare,-7.18,10.98,19.35,-7.31,-8.82,-8.74,7.21,10.43,7.03,10.4,-10.41,11.79,-5.56,10.44
2022-04-22,12.75,-7.86,Healthcare,-9.96,9.3,17.07,-11.81,-10.96,-21.66,6.16,7.09,2.15,8.73,-12.19,9.67,-8.57,7.64
2022-04-25,13.59,-7.37,Healthcare,-9.69,9.9,17.45,-13.16,-10.39,-20.81,8.74,9.07,3.7,9.6,-10.7,9.93,-11.25,8.2
2022-04-26,13.51,-9.95,Healthcare,-11.96,9.14,16.81,-16.28,-11.64,-24.05,7.97,8.26,1.17,8.5,-10.56,7.81,-15.6,6.26
2022-04-27,14.49,-9.73,Healthcare,-12.14,8.79,17.12,-15.85,-11.9,-26.85,6.48,9.04,1.03,8.42,-9.27,7.63,-14.96,6.27
2022-04-28,13.59,-7.52,Healthcare,-11.18,5.28,19.06,-14.3,-11.94,-24.43,7.27,13.2,1.52,13.19,-7.87,7.92,-8.94,8.23
2022-04-29,7.16,-10.83,Healthcare,-14.54,3.66,16.36,-16.23,-15.11,-25.64,5.53,11.44,-1.09,13.32,-10.48,5.67,-9.88,5.29
2022-05-02,7.61,-9.99,Healthcare,-14.61,2.83,15.63,-15.96,-13.33,-24.51,4.35,10.26,-2.16,11.78,-11.47,4.56,-10.72,3.81
2022-05-03,8.81,-9.62,Healthcare,-14.91,3.31,15.59,-16.61,-13.3,-25.28,4.15,9.73,-2.19,11.13,-9.76,5.78,-10.6,3.52
2022-05-04,10.19,-6.99,Healthcare,-12.49,4.79,17.42,-13.97,-10.84,-22.79,5.25,12.15,0.33,12.82,-9.1,5.83,-8.0,5.05
2022-05-05,10.6,-10.13,Healthcare,-14.48,4.13,17.33,-15.51,-11.87,-26.54,3.28,11.26,-0.86,12.21,-11.27,2.74,-9.94,2.58
2022-05-06,11.05,-10.67,Healthcare,-15.03,4.94,17.94,-16.38,-12.11,-29.32,3.06,12.86,-1.88,12.66,-10.21,0.39,-10.54,3.52
2022-05-09,9.75,-13.43,Healthcare,-18.63,5.98,17.36,-19.59,-11.4,-34.24,3.61,10.14,-5.46,11.77,-10.93,-2.96,-15.11,1.0
2022-05-10,10.55,-13.22,Healthcare,-19.11,6.58,17.39,-19.24,-11.26,-33.41,3.47,8.85,-4.77,11.98,-9.39,-0.64,-13.7,1.32
2022-05-11,10.46,-14.58,Healthcare,-19.79,6.55,17.18,-20.34,-12.99,-33.57,2.91,9.22,-4.46,13.68,-9.46,-0.95,-14.69,0.95
2022-05-12,12.11,-14.64,Healthcare,-18.2,8.22,17.4,-19.53,-10.27,-33.32,3.92,11.08,-4.03,15.7,-7.76,2.22,-13.77,-0.51
2022-05-13,11.55,-12.68,Healthcare,-16.77,7.68,16.66,-16.36,-10.42,-29.62,3.33,11.02,-2.56,15.18,-8.61,3.97,-11.27,0.8
2022-05-16,12.94,-12.99,Healthcare,-16.9,7.87,18.31,-17.29,-10.61,-30.9,4.04,13.85,-1.49,17.54,-7.25,5.4,-11.6,1.56
2022-05-17,12.45,-11.29,Healthcare,-13.28,8.5,20.3,-16.43,-9.27,-29.16,4.47,14.61,0.81,18.37,-6.03,7.35,-9.17,2.22
2022-05-18,10.77,-14.71,Healthcare,-14.63,7.91,18.48,-18.2,-9.21,-32.19,2.54,12.29,-1.72,17.26,-7.74,6.05,-11.15,-2.05
2022-05-19,10.26,-15.27,Healthcare,-14.85,8.25,16.87,-16.32,-9.14,-31.33,1.64,8.97,-2.49,17.25,-7.29,5.73,-9.78,-0.6
2022-05-20,9.75,-15.25,Healthcare,-14.25,9.41,17.22,-15.5,-8.33,-31.05,3.4,13.65,-2.7,19.05,-3.98,6.35,-9.08,0.85
2022-05-23,7.62,-13.68,Healthcare,-12.91,10.06,17.99,-15.07,-8.58,-30.26,4.83,15.05,-1.07,19.4,-3.23,9.57,-9.07,2.13
2022-05-24,8.4,-14.29,Healthcare,-13.86,11.29,18.65,-15.43,-7.6,-31.25,5.96,16.32,0.18,20.39,-2.26,10.21,-10.09,3.24
2022-05-25,10.45,-13.59,Healthcare,-14.29,11.77,18.82,-15.99,-6.65,-29.96,4.93,16.71,0.14,19.3,-1.72,10.97,-12.41,3.35
2022-05-26,9.45,-11.92,Healthcare,-13.03,11.79,19.35,-15.53,-7.43,-29.74,4.84,19.14,-5.62,17.52,-1.21,9.81,-11.48,4.18
2022-05-27,9.04,-9.77,Healthcare,-11.66,12.74,17.14,-10.66,-6.95,-27.93,5.78,22.91,-5.96,18.47,-1.35,11.26,-6.33,5.17
2022-05-31,7.15,-10.26,Healthcare,-11.09,13.38,16.09,-11.54,-6.88,-28.4,4.88,19.13,-4.95,17.18,-2.94,6.91,-7.1,3.08
2022-06-01,6.01,-10.69,Healthcare,-12.51,11.62,14.91,-12.12,-6.8,-30.99,3.72,17.74,-6.99,15.64,-4.05,5.84,-8.66,2.17
2022-06-02,6.52,-9.06,Healthcare,-10.71,9.42,15.08,-8.12,-8.65,-27.67,3.4,14.54,-6.32,14.23,-3.49,1.49,-6.46,2.11
2022-06-03,6.83,-10.5,Healthcare,-11.41,9.5,15.23,-10.5,-8.67,-30.59,2.98,14.25,-9.16,14.12,-2.54,1.43,-8.36,0.75
2022-06-06,6.36,-10.26,Healthcare,-11.53,8.18,15.35,-11.27,-10.7,-31.02,2.97,14.89,-9.15,14.03,-2.43,-1.86,-9.19,1.68
2022-06-07,8.24,-9.4,Healthcare,-11.18,8.61,17.4,-9.76,-9.97,-29.28,4.09,18.15,-8.22,14.84,-1.15,-1.1,-7.96,3.09
2022-06-08,8.32,-10.37,Healthcare,-12.83,8.2,16.77,-10.65,-10.2,-30.34,3.48,18.67,-8.63,13.58,-2.05,-2.06,-9.32,2.37
2022-06-09,5.57,-12.42,Healthcare,-14.33,6.57,16.47,-12.93,-11.92,-33.05,1.41,14.85,-11.32,11.72,-5.14,-7.04,-11.27,1.53
2022-06-10,3.97,-14.93,Healthcare,-16.65,5.81,15.11,-15.35,-12.55,-34.52,0.74,12.52,-11.75,10.68,-8.44,-7.61,-13.32,0.55
2022-06-13,1.24,-18.12,Healthcare,-19.46,4.39,12.8,-17.9,-14.83,-37.76,-0.26,10.38,-14.19,7.94,-12.21,-11.08,-15.7,-2.49
2022-06-14,-0.05,-18.32,Healthcare,-21.7,3.93,11.72,-18.37,-16.78,-38.98,-1.78,10.2,-15.79,7.31,-12.19,-11.23,-16.41,-4.11
2022-06-15,0.28,-17.18,Healthcare,-20.3,3.87,11.95,-17.53,-15.92,-37.4,-0.74,11.02,-14.97,7.47,-11.11,-9.2,-15.25,-3.58
2022-06-16,1.05,-19.83,Healthcare,-22.36,1.75,11.34,-18.89,-16.88,-39.1,-0.68,9.18,-16.81,7.8,-12.99,-9.9,-16.82,-5.26
2022-06-17,0.42,-19.62,Healthcare,-22.01,3.5,13.09,-19.64,-15.71,-38.67,-1.04,10.24,-16.04,7.46,-14.73,-6.08,-17.45,-6.08
2022-06-21,4.16,-17.71,Healthcare,-20.59,5.11,17.22,-17.88,-12.88,-37.96,1.01,12.64,-15.57,11.77,-11.84,-5.02,-15.44,-0.32
2022-06-22,7.11,-17.88,Healthcare,-19.81,5.87,17.34,-17.2,-11.44,-35.98,2.59,16.13,-15.06,13.19,-10.09,-5.15,-14.54,1.58
2022-06-23,8.47,-17.04,Healthcare,-19.23,7.16,19.08,-14.12,-9.91,-34.77,4.85,18.38,-15.61,16.78,-8.23,-1.9,-11.14,3.65
2022-06-24,10.55,-14.53,Healthcare,-16.79,8.15,21.02,-13.57,-9.19,-33.14,6.37,23.2,-14.14,18.2,-5.48,-1.1,-10.47,2.8
2022-06-27,11.13,-14.84,Healthcare,-17.07,7.93,22.58,-13.71,-9.55,-33.69,6.27,23.81,-13.91,19.82,-4.95,-2.69,-10.66,4.84
2022-06-28,10.66,-16.63,Healthcare,-18.66,7.34,20.62,-15.22,-10.44,-35.55,3.28,20.21,-15.11,16.64,-7.18,-3.95,-11.91,5.4
2022-06-29,11.85,-16.92,Healthcare,-17.05,8.18,19.98,-14.89,-10.05,-35.37,3.31,22.22,-13.95,17.42,-6.67,-3.45,-11.89,6.88
2022-06-30,11.14,-17.56,Healthcare,-17.39,7.25,18.02,-14.67,-11.01,-35.96,3.61,22.68,-14.59,15.73,-3.95,-4.47,-10.72,6.46
2022-07-01,11.29,-16.28,Healthcare,-15.77,8.01,17.3,-12.81,-9.95,-33.34,4.64,22.24,-12.69,16.84,-4.06,-3.7,-9.66,7.03
2022-07-05,11.38,-16.14,Healthcare,-16.44,8.51,15.99,-13.63,-9.98,-33.14,3.86,23.14,-13.51,17.11,-5.25,-3.52,-10.15,4.62
2022-07-06,10.38,-15.85,Healthcare,-16.9,7.87,16.38,-12.13,-9.42,-33.58,3.96,24.22,-14.32,17.72,-3.24,-3.78,-8.42,6.65
2022-07-07,10.0,-14.65,Healthcare,-16.3,8.82,14.75,-11.0,-9.44,-32.51,4.07,23.42,-14.44,17.57,-2.02,-1.8,-8.78,6.47
2022-07-08,10.61,-14.7,Healthcare,-16.47,9.28,15.11,-10.89,-9.26,-32.48,3.94,24.35,-14.46,17.28,-2.48,0.42,-8.78,7.32
2022-07-11,10.89,-15.64,Healthcare,-16.75,8.97,15.39,-10.38,-9.52,-33.47,3.98,24.57,-14.96,19.19,-2.99,-0.7,-8.1,6.99
2022-07-12,10.33,-16.4,Healthcare,-17.2,8.62,14.55,-14.58,-9.98,-34.62,2.54,21.8,-15.21,18.31,-4.55,-1.39,-12.39,6.47
2022-07-13,10.11,-16.77,Healthcare,-18.78,8.67,13.82,-15.12,-9.81,-34.64,2.31,21.39,-15.95,18.52,-5.01,-2.66,-13.62,3.82
2022-07-14,8.88,-16.99,Healthcare,-19.16,8.02,13.03,-16.13,-10.74,-33.92,2.45,23.03,-16.33,18.66,-5.74,-3.16,-13.22,4.06
2022-07-15,11.17,-15.46,Healthcare,-16.8,9.37,15.52,-13.55,-9.61,-31.81,3.91,24.77,-14.8,20.02,-5.08,-1.79,-11.13,9.57
2022-07-18,8.26,-16.14,Healthcare,-18.17,7.26,12.62,-16.46,-12.05,-33.3,1.61,21.13,-15.96,16.72,-6.91,-5.07,-13.99,7.47
2022-07-19,8.38,-13.93,Healthcare,-15.96,8.77,11.7,-13.56,-10.29,-30.68,0.15,22.77,-13.65,16.75,-5.77,-3.65,-11.39,10.31
2022-07-20,6.91,-13.4,Healthcare,-17.25,8.47,11.22,-13.48,-11.11,-29.15,-0.42,21.23,-14.69,13.33,-6.78,-3.83,-11.1,7.49
2022-07-21,6.95,-12.55,Healthcare,-15.38,8.1,11.55,-5.74,-11.89,-27.39,-0.07,23.04,-13.71,13.95,-6.23,-4.16,-5.23,8.1
2022-07-22,7.47,-13.32,Healthcare,-16.52,8.18,11.42,-7.53,-12.2,-31.51,0.39,23.71,-13.28,13.91,-6.03,-5.16,-7.4,7.88
2022-07-25,8.73,-13.24,Healthcare,-17.05,9.38,11.25,-7.69,-12.27,-29.17,0.59,24.75,-13.25,14.44,-5.04,-4.98,-6.45,9.51
2022-07-26,9.19,-14.25,Healthcare,-16.6,10.44,12.45,-6.65,-12.45,-29.93,1.3,24.75,-12.16,15.4,-4.07,-5.72,-5.51,9.94
2022-07-27,9.39,-12.07,Healthcare,-15.92,10.69,14.24,-5.46,-12.05,-27.2,1.02,23.78,-10.9,15.32,-4.71,-4.88,-4.11,10.55
2022-07-28,8.39,-10.99,Healthcare,-15.64,9.83,14.08,-2.48,-12.77,-25.53,1.6,24.47,-10.67,13.7,-6.96,-5.75,-1.57,11.93
2022-07-29,3.9,-9.72,Healthcare,-16.79,8.84,12.68,-1.66,-13.71,-25.65,1.78,24.06,-11.57,12.94,-7.35,-5.86,-1.44,12.11
2022-08-01,1.5,-9.72,Healthcare,-15.84,7.83,12.11,-2.77,-13.56,-25.48,1.39,21.43,-10.75,11.61,-6.98,-6.47,-2.8,10.42
2022-08-02,1.59,-10.15,Healthcare,-16.34,7.27,11.72,-3.36,-13.62,-23.12,0.97,20.34,-10.65,10.75,-8.23,-6.67,-3.22,10.43
2022-08-03,2.02,-9.12,Healthcare,-15.79,8.32,11.4,-2.62,-10.69,-22.24,1.68,18.58,-10.26,10.76,-8.0,-2.69,-2.99,11.21
2022-08-04,0.8,-9.18,Healthcare,-15.73,8.26,10.41,-2.51,-11.08,-22.17,0.48,16.36,-10.65,10.01,-8.0,-1.97,-2.75,10.18
2022-08-05,0.33,-9.31,Healthcare,-16.0,8.03,10.41,-2.25,-11.96,-22.68,0.19,15.13,-10.6,10.56,-8.8,-2.13,-2.72,10.37
2022-08-08,1.56,-9.37,Healthcare,-16.14,8.37,12.31,-3.0,-11.41,-22.97,-0.2,15.46,-10.39,11.57,-8.39,-0.12,-3.47,10.6
2022-08-09,1.52,-9.62,Healthcare,-16.71,8.69,13.52,-3.4,-11.01,-24.33,-0.21,15.59,-10.71,12.46,-8.13,-1.03,-3.81,10.69
2022-08-10,1.86,-8.33,Healthcare,-15.47,9.8,13.41,-2.04,-9.89,-23.25,-0.01,16.0,-10.0,12.17,-7.91,1.04,-2.54,10.76
2022-08-11,2.42,-8.33,Healthcare,-15.36,8.68,13.0,-2.04,-10.57,-23.65,-1.42,15.11,-10.09,11.95,-10.01,-0.84,-2.52,10.08
2022-08-12,2.68,-7.26,Healthcare,-14.84,8.69,14.15,-0.53,-10.07,-23.13,-2.16,16.89,-9.58,13.75,-7.71,-0.33,-1.33,11.59
2022-08-15,2.53,-6.98,Healthcare,-14.62,9.5,13.07,0.53,-6.87,-23.16,-1.84,18.4,-9.33,13.39,-8.17,1.23,-1.19,11.73
2022-08-16,2.65,-6.87,Healthcare,-14.56,10.1,12.66,0.12,-6.75,-24.14,-1.26,17.49,-9.26,13.38,-8.03,1.79,-1.44,11.93
2022-08-17,2.12,-7.3,Healthcare,-15.31,9.36,13.1,-0.59,-7.05,-25.0,-1.25,19.13,-9.51,13.75,-8.76,0.5,-2.09,11.77
2022-08-18,2.04,-7.11,Healthcare,-15.61,9.1,12.68,-1.26,-7.84,-25.02,-1.57,19.11,-9.3,14.06,-9.61,-0.7,-2.2,11.8
2022-08-19,2.31,-7.96,Healthcare,-15.56,9.44,13.88,-1.66,-7.69,-26.06,-0.57,20.63,-9.46,14.63,-8.91,-1.38,-2.89,12.22
