Date,rate_COST,rate_VOO,Sector,rate_KDP,rate_KO,rate_MDLZ,rate_PEP,rate_PG,rate_WMT
2022-02-25,-3.35,-5.81,Consumer Defensive,2.81,4.8,0.27,-2.42,-2.06,-4.63
2022-02-28,-3.04,-6.04,Consumer Defensive,3.78,3.81,-1.6,-4.99,-3.48,-5.46
2022-03-01,-2.31,-7.18,Consumer Defensive,2.36,3.26,-3.18,-5.64,-4.9,-4.74
2022-03-02,-1.43,-5.58,Consumer Defensive,3.51,4.0,-2.67,-4.41,-4.61,-4.62
2022-03-03,-0.55,-6.03,Consumer Defensive,3.51,4.06,-2.37,-5.09,-4.28,-2.53
2022-03-04,-1.86,-6.74,Consumer Defensive,4.21,4.22,-3.92,-3.73,-3.81,-0.17
2022-03-07,-1.34,-9.33,Consumer Defensive,2.31,1.84,-5.78,-5.54,-5.17,-0.94
2022-03-08,-2.25,-9.98,Consumer Defensive,-0.13,-2.1,-8.32,-8.12,-8.82,-2.94
2022-03-09,-1.49,-7.69,Consumer Defensive,0.97,-1.62,-7.6,-8.39,-7.63,-2.45
2022-03-10,-0.59,-8.09,Consumer Defensive,-0.16,-3.38,-9.26,-10.01,-9.94,-0.28
2022-03-11,-1.53,-9.21,Consumer Defensive,-1.18,-3.31,-10.79,-10.45,-10.97,-0.67
2022-03-14,-1.79,-9.84,Consumer Defensive,-0.58,-2.3,-10.47,-9.24,-9.87,0.69
2022-03-15,1.17,-7.92,Consumer Defensive,0.22,-0.52,-7.74,-7.46,-6.68,1.88
2022-03-16,1.37,-5.92,Consumer Defensive,0.53,-0.79,-6.58,-7.06,-6.99,1.58
2022-03-17,3.07,-4.8,Consumer Defensive,1.44,0.25,-6.1,-6.35,-6.71,1.35
2022-03-18,4.62,-3.77,Consumer Defensive,1.46,0.27,-7.24,-5.29,-6.76,1.65
2022-03-21,3.57,-3.77,Consumer Defensive,1.38,1.06,-7.44,-5.43,-6.41,0.81
2022-03-22,4.27,-2.68,Consumer Defensive,1.52,1.42,-7.14,-4.4,-5.69,0.51
2022-03-23,3.29,-3.9,Consumer Defensive,-1.04,0.76,-8.33,-4.9,-6.35,-0.77
2022-03-24,4.03,-2.83,Consumer Defensive,-0.0,1.72,-8.22,-4.33,-6.19,-0.16
2022-03-25,3.6,-2.35,Consumer Defensive,0.85,2.63,-7.22,-3.88,-5.11,0.27
2022-03-28,5.32,-1.69,Consumer Defensive,1.97,3.28,-7.14,-3.6,-4.47,2.04
2022-03-29,6.06,-0.48,Consumer Defensive,2.75,3.67,-4.91,-2.19,-3.49,2.64
2022-03-30,7.06,-1.09,Consumer Defensive,2.37,3.76,-5.37,-2.32,-4.15,3.92
2022-03-31,6.96,-2.57,Consumer Defensive,1.7,3.41,-5.33,-2.65,-5.13,3.46
2022-04-01,6.72,-2.24,Consumer Defensive,2.53,4.71,-4.08,-1.25,-3.61,4.34
2022-04-04,6.65,-1.45,Consumer Defensive,2.85,4.18,-4.79,-1.49,-4.21,4.36
2022-04-05,6.68,-2.62,Consumer Defensive,-0.87,4.06,-4.84,-1.39,-3.89,4.56
2022-04-06,8.03,-3.57,Consumer Defensive,1.45,5.09,-4.54,0.26,-2.54,6.22
2022-04-07,11.36,-3.1,Consumer Defensive,0.87,5.65,-5.01,0.35,-1.31,6.95
2022-04-08,10.22,-3.33,Consumer Defensive,0.97,6.29,-4.26,0.68,-0.55,7.36
2022-04-11,8.02,-4.94,Consumer Defensive,0.81,6.26,-4.25,0.38,-0.93,5.89
2022-04-12,7.54,-5.28,Consumer Defensive,0.92,7.49,-3.86,0.72,-1.22,5.35
2022-04-13,8.93,-4.23,Consumer Defensive,1.0,7.77,-3.59,0.57,-0.94,7.38
2022-04-14,8.83,-5.37,Consumer Defensive,-0.12,8.25,-3.78,0.04,-1.49,7.31
2022-04-18,7.65,-5.35,Consumer Defensive,-1.34,7.29,-4.01,-0.69,-2.41,6.7
2022-04-19,9.62,-3.88,Consumer Defensive,0.74,8.18,-1.55,0.64,-0.97,7.75
2022-04-20,11.11,-3.95,Consumer Defensive,1.95,9.43,-0.77,2.0,1.64,8.93
2022-04-21,9.21,-5.34,Consumer Defensive,0.61,9.78,-0.6,1.67,1.0,9.07
2022-04-22,5.97,-7.86,Consumer Defensive,-0.75,8.43,-1.77,0.24,0.17,7.28
2022-04-25,5.41,-7.37,Consumer Defensive,0.05,9.4,-0.69,1.08,0.97,7.33
2022-04-26,2.91,-9.95,Consumer Defensive,-0.62,8.23,-2.92,0.84,-0.48,6.43
2022-04-27,2.97,-9.73,Consumer Defensive,1.55,8.9,-2.91,1.7,-0.7,5.85
2022-04-28,4.33,-7.52,Consumer Defensive,1.89,9.73,-0.13,3.17,1.42,6.93
2022-04-29,-0.9,-10.83,Consumer Defensive,0.32,7.65,-2.36,-0.04,-0.08,5.16
2022-05-02,-1.34,-9.99,Consumer Defensive,-1.95,5.93,-3.15,-2.18,-1.18,4.47
2022-05-03,-1.49,-9.62,Consumer Defensive,-0.21,5.4,-1.9,-2.05,-2.4,4.8
2022-05-04,1.38,-6.99,Consumer Defensive,-0.13,8.27,0.16,1.23,-1.75,6.09
2022-05-05,-3.38,-10.13,Consumer Defensive,-0.55,7.51,-1.16,-0.71,-3.39,4.94
2022-05-06,-5.83,-10.67,Consumer Defensive,-0.82,7.85,-0.47,-0.7,-2.52,3.0
2022-05-09,-6.62,-13.43,Consumer Defensive,-0.34,7.65,0.29,0.02,-2.74,4.06
2022-05-10,-6.15,-13.22,Consumer Defensive,-0.71,6.71,-0.23,-0.1,-3.22,2.68
2022-05-11,-8.37,-14.58,Consumer Defensive,0.4,7.18,-0.75,-0.57,-4.52,1.67
2022-05-12,-8.89,-14.64,Consumer Defensive,-1.09,7.5,-0.58,-0.72,-4.89,1.58
2022-05-13,-6.9,-12.68,Consumer Defensive,-0.16,9.4,0.43,1.17,-3.92,1.95
2022-05-16,-7.39,-12.99,Consumer Defensive,-0.77,9.77,0.07,2.17,-3.03,2.05
2022-05-17,-8.13,-11.29,Consumer Defensive,-3.46,9.48,-0.53,1.59,-3.3,-9.22
2022-05-18,-19.29,-14.71,Consumer Defensive,-7.34,2.09,-7.59,-4.6,-9.16,-15.18
2022-05-19,-20.48,-15.27,Consumer Defensive,-7.84,0.16,-7.34,-6.01,-11.19,-17.43
2022-05-20,-21.66,-15.25,Consumer Defensive,-7.18,1.74,-7.22,-5.43,-11.13,-17.34
2022-05-23,-19.28,-13.68,Consumer Defensive,-6.16,4.77,-5.96,-3.49,-9.15,-15.07
2022-05-24,-17.78,-14.29,Consumer Defensive,-5.28,6.67,-4.53,-2.21,-7.56,-14.03
2022-05-25,-17.34,-13.59,Consumer Defensive,-5.15,6.75,-5.47,-1.54,-9.05,-14.55
2022-05-26,-12.79,-11.92,Consumer Defensive,-4.64,7.13,-5.28,-0.88,-8.27,-12.76
2022-05-27,-11.73,-9.77,Consumer Defensive,-5.57,7.75,-3.39,0.07,-6.89,-11.07
2022-05-31,-12.56,-10.26,Consumer Defensive,-6.75,5.62,-3.69,-2.25,-7.41,-10.97
2022-06-01,-13.86,-10.69,Consumer Defensive,-6.82,4.97,-4.53,-2.89,-8.54,-12.77
2022-06-02,-8.3,-9.06,Consumer Defensive,-5.03,6.05,-4.34,-2.78,-7.58,-11.37
2022-06-03,-10.36,-10.5,Consumer Defensive,-6.06,4.8,-5.28,-3.83,-8.4,-12.87
2022-06-06,-11.05,-10.26,Consumer Defensive,-1.33,4.63,-5.22,-3.43,-8.76,-13.19
2022-06-07,-11.17,-9.4,Consumer Defensive,-2.11,5.26,-4.03,-2.84,-7.75,-14.22
2022-06-08,-11.86,-10.37,Consumer Defensive,-3.12,4.66,-4.97,-3.32,-8.89,-14.96
2022-06-09,-11.13,-12.42,Consumer Defensive,-3.98,2.86,-7.06,-5.03,-10.52,-15.85
2022-06-10,-12.71,-14.93,Consumer Defensive,-4.57,2.21,-7.71,-5.18,-10.86,-15.38
2022-06-13,-14.71,-18.12,Consumer Defensive,-6.69,2.1,-10.12,-6.79,-13.23,-16.96
2022-06-14,-14.24,-18.32,Consumer Defensive,-7.49,-1.4,-11.23,-8.89,-15.92,-16.93
2022-06-15,-13.51,-17.18,Consumer Defensive,-6.28,-0.67,-10.37,-7.92,-16.75,-16.99
2022-06-16,-14.81,-19.83,Consumer Defensive,-7.38,-1.67,-11.01,-8.36,-16.24,-16.13
2022-06-17,-15.74,-19.62,Consumer Defensive,-7.63,-1.07,-10.73,-8.34,-16.84,-17.74
2022-06-21,-12.71,-17.71,Consumer Defensive,-6.04,1.04,-9.19,-6.23,-14.34,-15.05
2022-06-22,-13.29,-17.88,Consumer Defensive,-6.2,1.78,-8.49,-5.47,-13.01,-16.08
2022-06-23,-10.51,-17.04,Consumer Defensive,-5.32,2.99,-7.34,-4.27,-10.64,-14.05
2022-06-24,-8.78,-14.53,Consumer Defensive,-3.84,4.92,-4.91,-3.09,-9.36,-13.98
2022-06-27,-9.26,-14.84,Consumer Defensive,-3.49,4.7,-4.94,-2.97,-10.05,-13.7
2022-06-28,-11.69,-16.63,Consumer Defensive,-4.51,3.66,-6.32,-4.32,-11.5,-14.91
2022-06-29,-11.46,-16.92,Consumer Defensive,-4.06,4.4,-5.82,-2.75,-10.7,-15.22
2022-06-30,-9.72,-17.56,Consumer Defensive,-4.84,4.7,-5.76,-2.79,-9.71,-15.46
2022-07-01,-8.29,-16.28,Consumer Defensive,-2.93,6.95,-3.76,-1.17,-8.04,-14.33
2022-07-05,-7.84,-16.14,Consumer Defensive,-2.43,5.17,-5.03,-1.39,-8.9,-13.24
2022-07-06,-7.03,-15.85,Consumer Defensive,-3.26,5.39,-5.13,-0.42,-8.06,-12.64
2022-07-07,-6.61,-14.65,Consumer Defensive,-2.72,4.56,-5.19,-0.62,-8.09,-12.51
2022-07-08,-5.4,-14.7,Consumer Defensive,-2.59,4.94,-5.09,0.26,-8.71,-12.45
2022-07-11,-5.89,-15.64,Consumer Defensive,-2.75,4.61,-5.33,-0.56,-8.07,-12.41
2022-07-12,-7.41,-16.4,Consumer Defensive,-2.32,4.17,-4.9,-1.12,-8.87,-12.68
2022-07-13,-7.11,-16.77,Consumer Defensive,-1.97,3.68,-5.8,-0.77,-8.28,-12.47
2022-07-14,-3.49,-16.99,Consumer Defensive,-2.08,3.35,-7.45,-0.26,-8.55,-10.77
2022-07-15,-1.48,-15.46,Consumer Defensive,-1.44,3.88,-7.66,-0.18,-8.67,-9.9
2022-07-18,-2.69,-16.14,Consumer Defensive,-2.7,2.48,-8.69,-1.83,-9.77,-10.11
2022-07-19,-1.97,-13.93,Consumer Defensive,-1.84,3.93,-6.63,-0.79,-9.32,-9.55
2022-07-20,-1.25,-13.4,Consumer Defensive,-2.29,2.23,-6.59,-1.83,-10.87,-8.8
2022-07-21,-0.28,-12.55,Consumer Defensive,-2.37,2.0,-6.74,-1.69,-11.36,-7.47
2022-07-22,-0.23,-13.32,Consumer Defensive,-1.97,2.38,-5.77,-1.05,-9.95,-7.71
2022-07-25,-0.34,-13.24,Consumer Defensive,-1.08,3.37,-4.6,-0.91,-9.35,-7.84
2022-07-26,-3.5,-14.25,Consumer Defensive,-0.25,5.06,-4.33,0.23,-9.17,-14.84
2022-07-27,-1.59,-12.07,Consumer Defensive,-0.14,4.73,-3.28,0.09,-8.32,-11.62
2022-07-28,0.95,-10.99,Consumer Defensive,3.59,6.47,-2.42,1.97,-6.81,-9.42
2022-07-29,1.89,-9.72,Consumer Defensive,4.23,6.65,-2.66,2.04,-12.52,-7.82
2022-08-01,2.83,-9.72,Consumer Defensive,4.56,7.04,-1.34,3.1,-9.77,-7.28
2022-08-02,2.37,-10.15,Consumer Defensive,3.87,5.96,-1.48,2.47,-10.21,-7.21
2022-08-03,2.85,-9.12,Consumer Defensive,4.94,6.3,-1.07,3.05,-8.84,-8.34
2022-08-04,2.34,-9.18,Consumer Defensive,4.1,5.99,-2.06,2.64,-8.95,-10.89
2022-08-05,1.98,-9.31,Consumer Defensive,4.18,5.64,-2.6,2.07,-8.92,-10.37
2022-08-08,2.15,-9.37,Consumer Defensive,4.3,5.13,-2.41,1.76,-8.66,-9.84
2022-08-09,1.38,-9.62,Consumer Defensive,4.91,5.22,-2.42,2.02,-8.81,-9.23
2022-08-10,1.89,-8.33,Consumer Defensive,6.0,5.91,-1.86,2.6,-8.22,-9.1
2022-08-11,0.92,-8.33,Consumer Defensive,4.75,5.42,-2.04,2.24,-8.67,-8.77
2022-08-12,1.56,-7.26,Consumer Defensive,5.26,5.97,-2.14,3.16,-8.07,-7.61
2022-08-15,2.64,-6.98,Consumer Defensive,6.46,6.88,-1.12,3.94,-7.26,-7.43
2022-08-16,3.55,-6.87,Consumer Defensive,6.58,7.47,-0.32,4.15,-6.68,-4.25
2022-08-17,3.96,-7.3,Consumer Defensive,6.55,7.3,-0.78,4.13,-6.97,-4.18
2022-08-18,4.54,-7.11,Consumer Defensive,6.53,7.68,-0.74,4.16,-6.75,-4.39
2022-08-19,3.74,-7.96,Consumer Defensive,6.47,7.62,-0.93,4.12,-6.77,-5.35
2022-08-22,2.6,-9.24,Consumer Defensive,6.03,6.55,-1.8,3.77,-6.93,-6.5
2022-08-23,2.18,-9.38,Consumer Defensive,6.04,6.62,-2.6,3.75,-8.13,-6.77
2022-08-24,2.33,-9.2,Consumer Defensive,6.23,6.72,-1.71,4.05,-8.39,-6.32
2022-08-25,3.26,-8.33,Consumer Defensive,6.36,7.07,-1.85,4.05,-8.44,-5.9
2022-08-26,0.91,-10.4,Consumer Defensive,4.67,5.34,-3.6,2.61,-9.85,-7.88
2022-08-29,0.82,-10.79,Consumer Defensive,4.96,4.92,-3.86,2.43,-10.1,-7.29
2022-08-30,-0.04,-11.42,Consumer Defensive,4.29,4.27,-4.5,1.87,-10.74,-7.47
2022-08-31,-0.29,-11.87,Consumer Defensive,3.77,3.79,-4.49,1.59,-11.68,-7.44
2022-09-01,0.57,-11.4,Consumer Defensive,4.03,4.0,-4.27,1.77,-10.68,-6.38
2022-09-02,-0.64,-11.98,Consumer Defensive,3.18,3.08,-5.5,0.97,-11.7,-7.05
2022-09-06,-0.67,-12.17,Consumer Defensive,2.74,3.11,-6.22,0.55,-12.32,-7.34
2022-09-07,0.98,-10.9,Consumer Defensive,4.45,4.68,-4.41,2.34,-11.24,-5.39
2022-09-08,0.89,-10.38,Consumer Defensive,4.74,4.39,-5.08,2.03,-11.14,-4.95
2022-09-09,2.17,-9.13,Consumer Defensive,5.31,4.69,-4.54,2.32,-9.92,-4.69
2022-09-12,2.67,-8.23,Consumer Defensive,6.1,4.97,-3.73,2.68,-9.25,-3.9
2022-09-13,-2.51,-12.01,Consumer Defensive,2.68,1.71,-6.73,-0.94,-11.04,-5.8
2022-09-14,-2.92,-11.7,Consumer Defensive,2.81,2.23,-6.2,-0.23,-10.84,-6.0
2022-09-15,-3.71,-12.63,Consumer Defensive,1.49,0.21,-7.19,-1.8,-11.49,-6.96
2022-09-16,-3.6,-13.28,Consumer Defensive,1.33,0.22,-6.11,-1.19,-10.98,-7.15
2022-09-19,-3.17,-12.65,Consumer Defensive,2.89,0.95,-5.99,-0.21,-11.16,-6.39
2022-09-20,-4.46,-13.61,Consumer Defensive,1.98,0.8,-6.94,-0.1,-11.46,-6.92
2022-09-21,-5.65,-15.08,Consumer Defensive,1.27,-0.02,-6.94,-0.37,-12.57,-6.09
2022-09-22,-6.73,-15.78,Consumer Defensive,1.13,-0.25,-6.87,-0.28,-12.27,-7.03
2022-09-23,-10.55,-17.14,Consumer Defensive,1.05,-1.34,-8.16,-0.33,-12.66,-9.3
2022-09-26,-8.0,-17.92,Consumer Defensive,1.58,-2.54,-9.07,-0.37,-12.58,-8.45
2022-09-27,-8.37,-18.14,Consumer Defensive,-1.94,-5.01,-10.25,-1.78,-14.94,-8.69
2022-09-28,-6.5,-16.92,Consumer Defensive,-0.32,-4.02,-9.39,-0.24,-14.94,-7.21
2022-09-29,-8.24,-18.62,Consumer Defensive,-1.54,-4.7,-11.65,-1.43,-17.01,-7.8
2022-09-30,-9.5,-19.84,Consumer Defensive,-2.34,-5.61,-14.48,-3.37,-18.56,-9.55
2022-10-03,-8.27,-17.32,Consumer Defensive,0.47,-4.45,-11.84,-2.16,-16.71,-7.42
2022-10-04,-6.71,-14.89,Consumer Defensive,1.51,-4.24,-10.03,-1.09,-15.7,-6.24
2022-10-05,-7.78,-15.03,Consumer Defensive,1.99,-5.13,-10.48,-1.73,-16.27,-7.15
2022-10-06,-7.38,-15.9,Consumer Defensive,1.19,-7.13,-12.36,-3.58,-17.98,-8.0
2022-10-07,-10.04,-18.18,Consumer Defensive,-0.52,-7.99,-13.51,-4.27,-19.37,-10.13
2022-10-10,-10.39,-18.77,Consumer Defensive,0.74,-8.19,-12.96,-4.14,-19.69,-9.61
2022-10-11,-9.31,-19.3,Consumer Defensive,2.3,-8.04,-11.94,-3.69,-19.39,-7.3
2022-10-12,-10.37,-19.54,Consumer Defensive,2.73,-6.93,-11.09,0.28,-19.27,-8.33
2022-10-13,-10.07,-17.48,Consumer Defensive,3.89,-5.72,-9.77,3.32,-18.06,-7.57
2022-10-14,-12.59,-19.3,Consumer Defensive,1.71,-7.2,-10.92,0.74,-18.85,-8.85
2022-10-17,-10.79,-17.29,Consumer Defensive,2.87,-6.02,-10.14,2.23,-17.41,-8.2
2022-10-18,-9.07,-16.34,Consumer Defensive,4.52,-4.76,-8.73,3.59,-16.75,-6.27
2022-10-19,-9.42,-16.91,Consumer Defensive,2.92,-5.56,-9.74,2.6,-15.98,-6.54
2022-10-20,-10.7,-17.57,Consumer Defensive,1.57,-7.04,-10.97,1.48,-17.63,-6.31
2022-10-21,-8.14,-15.63,Consumer Defensive,2.49,-5.56,-10.28,2.42,-16.61,-4.43
2022-10-24,-4.59,-14.63,Consumer Defensive,4.71,-2.87,-8.12,5.13,-16.1,-2.62
2022-10-25,-4.2,-13.27,Consumer Defensive,5.01,-0.55,-7.23,5.48,-15.15,-2.16
2022-10-26,-4.12,-13.9,Consumer Defensive,5.58,0.19,-6.31,5.95,-14.56,-1.41
2022-10-27,-4.67,-14.35,Consumer Defensive,3.81,0.43,-5.67,5.84,-14.49,-1.7
2022-10-28,-1.97,-12.4,Consumer Defensive,7.73,2.49,-3.51,7.8,-12.35,-0.46
2022-10-31,-3.74,-12.98,Consumer Defensive,5.8,0.96,-3.85,7.42,-12.7,-0.59
2022-11-01,-3.93,-13.0,Consumer Defensive,3.0,0.6,-3.17,6.77,-12.26,-1.01
2022-11-02,-6.96,-15.11,Consumer Defensive,0.72,-0.77,-2.09,5.33,-13.47,-1.65
2022-11-03,-6.45,-15.97,Consumer Defensive,-1.11,-0.82,-2.97,5.06,-14.04,-1.67
2022-11-04,-6.43,-14.8,Consumer Defensive,0.72,-0.03,-1.11,5.64,-12.53,-1.5
2022-11-07,-6.03,-14.03,Consumer Defensive,1.99,0.35,0.66,6.46,-11.24,-0.49
2022-11-08,-5.24,-13.57,Consumer Defensive,3.28,0.53,0.05,6.7,-11.05,-0.29
2022-11-09,-5.77,-15.28,Consumer Defensive,2.29,-0.85,-0.65,5.64,-11.26,-2.24
2022-11-10,-1.42,-10.81,Consumer Defensive,3.28,2.66,1.44,7.19,-8.27,-0.54
2022-11-11,-0.99,-9.98,Consumer Defensive,1.67,3.39,1.2,5.39,-8.4,-0.41
2022-11-14,-2.07,-10.68,Consumer Defensive,-0.48,2.41,0.28,4.74,-8.39,-2.87
2022-11-15,1.08,-9.96,Consumer Defensive,-0.34,2.24,1.07,4.99,-8.71,2.96
2022-11-16,0.63,-10.63,Consumer Defensive,-0.07,2.06,1.58,5.6,-7.9,3.64
2022-11-17,0.11,-10.88,Consumer Defensive,0.33,2.38,0.79,6.52,-8.46,3.32
2022-11-18,0.55,-10.49,Consumer Defensive,1.9,3.1,1.56,7.23,-7.37,4.75
2022-11-21,0.5,-10.8,Consumer Defensive,3.47,4.67,2.8,9.11,-6.21,5.34
2022-11-22,2.1,-9.64,Consumer Defensive,4.37,5.12,3.48,9.12,-5.41,5.71
2022-11-23,2.58,-9.09,Consumer Defensive,4.34,5.59,4.02,9.25,-4.87,6.2
2022-11-25,2.42,-9.1,Consumer Defensive,4.15,5.7,4.05,8.73,-4.7,6.63
2022-11-28,1.91,-10.5,Consumer Defensive,4.01,5.71,3.24,8.61,-4.78,6.93
2022-11-29,1.54,-10.66,Consumer Defensive,3.74,5.34,3.09,7.88,-5.5,6.56
2022-11-30,3.47,-7.97,Consumer Defensive,5.29,7.24,5.47,9.52,-3.12,6.18
2022-12-01,-3.09,-7.76,Consumer Defensive,5.27,7.37,6.06,9.51,-2.99,6.67
2022-12-02,-4.79,-7.89,Consumer Defensive,5.35,8.29,6.39,9.39,-2.13,6.57
2022-12-05,-5.87,-9.46,Consumer Defensive,3.28,6.84,5.07,7.98,-3.09,5.52
2022-12-06,-7.27,-10.72,Consumer Defensive,2.5,6.8,4.89,7.14,-2.99,4.5
2022-12-07,-7.11,-10.89,Consumer Defensive,3.23,6.94,5.85,7.45,-2.47,4.05
2022-12-08,-7.22,-10.21,Consumer Defensive,4.22,7.32,5.28,8.36,-1.88,3.86
2022-12-09,-6.92,-10.84,Consumer Defensive,3.2,6.37,4.59,7.97,-2.1,1.84
2022-12-12,-6.05,-9.61,Consumer Defensive,3.63,7.55,5.01,8.46,-1.26,3.42
2022-12-13,-5.95,-8.96,Consumer Defensive,2.42,7.58,5.28,8.41,-1.39,3.08
2022-12-14,-6.84,-9.5,Consumer Defensive,1.6,7.58,4.86,8.11,-1.04,2.55
2022-12-15,-10.55,-11.68,Consumer Defensive,-0.31,6.4,3.79,6.32,-2.06,1.71
2022-12-16,-11.01,-12.71,Consumer Defensive,-1.83,5.92,3.51,6.37,-2.46,0.05
2022-12-19,-11.55,-13.44,Consumer Defensive,-1.15,6.04,2.94,6.95,-2.48,0.08
2022-12-20,-11.7,-13.72,Consumer Defensive,-1.31,5.97,3.15,6.88,-2.45,0.92
2022-12-21,-10.9,-12.46,Consumer Defensive,-0.58,7.49,4.6,7.62,-1.72,1.67
2022-12-22,-11.53,-13.66,Consumer Defensive,-1.23,6.8,4.38,6.8,-1.54,0.53
2022-12-23,-10.79,-13.19,Consumer Defensive,-1.02,7.52,4.9,7.48,-1.31,0.73
2022-12-27,-11.57,-13.52,Consumer Defensive,-1.75,8.11,5.44,7.96,-0.6,0.75
2022-12-28,-12.62,-14.56,Consumer Defensive,-2.64,7.14,4.52,7.19,-1.66,-0.93
2022-12-29,-11.95,-13.08,Consumer Defensive,-2.48,7.72,4.72,7.32,-1.32,-0.36
2022-12-30,-11.95,-13.31,Consumer Defensive,-2.94,7.2,4.27,6.55,-1.87,-0.6
2023-01-03,-12.27,-13.32,Consumer Defensive,-3.16,6.06,3.62,5.69,-1.82,0.6
2023-01-04,-11.65,-12.72,Consumer Defensive,-2.38,6.02,4.33,5.43,-1.44,0.71
2023-01-05,-12.85,-13.65,Consumer Defensive,-3.87,4.84,3.51,4.34,-2.43,0.37
2023-01-06,-6.71,-11.74,Consumer Defensive,-1.24,6.83,6.32,6.68,-0.33,2.81
2023-01-09,-7.48,-11.8,Consumer Defensive,-1.87,5.51,5.11,5.65,-1.33,1.53
2023-01-10,-6.99,-11.18,Consumer Defensive,-2.79,4.71,5.22,4.78,-1.41,1.47
2023-01-11,-6.44,-10.08,Consumer Defensive,-2.57,4.51,5.63,4.9,-2.14,2.35
2023-01-12,-6.79,-9.75,Consumer Defensive,-3.12,3.17,4.37,3.57,-2.64,1.43
2023-01-13,-6.26,-9.41,Consumer Defensive,-2.79,3.53,4.83,3.26,-2.01,1.77
2023-01-17,-5.98,-9.54,Consumer Defensive,-2.68,3.95,4.77,3.73,-2.27,1.15
